epoch,step,loss
1,1,1.4979515075683594
1,2,1.281632423400879
1,3,1.107004165649414
1,4,0.9490237236022949
1,5,0.8154823780059814
1,6,0.7556094527244568
2,1,0.7189415693283081
2,2,0.6143324971199036
2,3,0.715471625328064
2,4,0.6683717370033264
2,5,0.7041209936141968
3,1,0.5641407370567322
3,2,0.6805064082145691
3,3,0.5374500155448914
3,4,0.5508227348327637
3,5,0.6009560823440552
4,1,0.5894492864608765
4,2,0.5059087872505188
4,3,0.4721444845199585
4,4,0.5916237235069275
4,5,0.5401240587234497
5,1,0.48617100715637207
5,2,0.4644380509853363
5,3,0.4847789406776428
5,4,0.47040677070617676
5,5,0.5143680572509766
6,1,0.5215668082237244
6,2,0.3591907024383545
6,3,0.36822807788848877
6,4,0.37097078561782837
6,5,0.3398999273777008
7,1,0.39487043023109436
7,2,0.418836385011673
7,3,0.38419774174690247
7,4,0.38417333364486694
7,5,0.2723439335823059
8,1,0.4039252996444702
8,2,0.37119293212890625
8,3,0.3341532349586487
8,4,0.2734847962856293
8,5,0.34034624695777893
9,1,0.2722376585006714
9,2,0.22584819793701172
9,3,0.33331698179244995
9,4,0.26008933782577515
9,5,0.2821904420852661
10,1,0.3457069396972656
10,2,0.31651049852371216
10,3,0.2449588030576706
10,4,0.23514974117279053
10,5,0.2333552986383438
11,1,0.18155184388160706
11,2,0.29285475611686707
11,3,0.319541335105896
11,4,0.33054444193840027
11,5,0.3298039436340332
12,1,0.16069941222667694
12,2,0.1617836356163025
12,3,0.19920992851257324
12,4,0.24585682153701782
12,5,0.24813520908355713
13,1,0.15401406586170197
13,2,0.14316681027412415
13,3,0.1825229823589325
13,4,0.187244713306427
13,5,0.21225962042808533
14,1,0.13296964764595032
14,2,0.1587226688861847
14,3,0.31879717111587524
14,4,0.13980208337306976
14,5,0.12483011186122894
15,1,0.20241396129131317
15,2,0.11045845597982407
15,3,0.10654197633266449
15,4,0.13457335531711578
15,5,0.20516827702522278
16,1,0.12412266433238983
16,2,0.17374566197395325
16,3,0.1378576159477234
16,4,0.149652361869812
16,5,0.12498392164707184
17,1,0.10134807229042053
17,2,0.10509622097015381
17,3,0.14376066625118256
17,4,0.0879615843296051
17,5,0.12040669471025467
18,1,0.1093529462814331
18,2,0.1407141387462616
18,3,0.09191364794969559
18,4,0.09524446725845337
18,5,0.09766653180122375
19,1,0.18516866862773895
19,2,0.07549526542425156
19,3,0.11494709551334381
19,4,0.12320224195718765
19,5,0.0623202808201313
20,1,0.12875211238861084
20,2,0.21100495755672455
20,3,0.12509343028068542
20,4,0.1575949639081955
20,5,0.04735693335533142
21,1,0.09532718360424042
21,2,0.09984204173088074
21,3,0.09414980560541153
21,4,0.041987836360931396
21,5,0.09339933842420578
22,1,0.11667229235172272
22,2,0.12709906697273254
22,3,0.0753178521990776
22,4,0.14149492979049683
22,5,0.14128640294075012
23,1,0.06349339336156845
23,2,0.10242550075054169
23,3,0.1494293212890625
23,4,0.08673501014709473
23,5,0.0946820080280304
24,1,0.16435903310775757
24,2,0.05104304850101471
24,3,0.1407887041568756
24,4,0.0627998411655426
24,5,0.06381437182426453
25,1,0.04467979073524475
25,2,0.053438007831573486
25,3,0.09120288491249084
25,4,0.06801799684762955
25,5,0.17777970433235168
26,1,0.08861667662858963
26,2,0.14593660831451416
26,3,0.04186598211526871
26,4,0.049862027168273926
26,5,0.03330797702074051
27,1,0.06739585101604462
27,2,0.10685628652572632
27,3,0.06474164128303528
27,4,0.06398434191942215
27,5,0.03996192291378975
28,1,0.09561625123023987
28,2,0.03449283540248871
28,3,0.040057867765426636
28,4,0.1129799485206604
28,5,0.05072146654129028
29,1,0.1980563998222351
29,2,0.024486122652888298
29,3,0.0241013802587986
29,4,0.10786858946084976
29,5,0.13585184514522552
30,1,0.17537109553813934
30,2,0.061381079256534576
30,3,0.031141070649027824
30,4,0.06665752828121185
30,5,0.06238593906164169
31,1,0.11935393512248993
31,2,0.10521003603935242
31,3,0.06569521129131317
31,4,0.12645703554153442
31,5,0.13128702342510223
32,1,0.016201114282011986
32,2,0.053219690918922424
32,3,0.0454462468624115
32,4,0.027889057993888855
32,5,0.027738623321056366
33,1,0.12324857711791992
33,2,0.026903944090008736
33,3,0.05257362872362137
33,4,0.05030198022723198
33,5,0.0595257394015789
34,1,0.06055859848856926
34,2,0.08701903373003006
34,3,0.07448176294565201
34,4,0.03449137508869171
34,5,0.053666431456804276
35,1,0.052798300981521606
35,2,0.020226288586854935
35,3,0.08048489689826965
35,4,0.11688829213380814
35,5,0.1369505077600479
36,1,0.031106116250157356
36,2,0.12653395533561707
36,3,0.08416242897510529
36,4,0.09350290894508362
36,5,0.07871270924806595
37,1,0.04437071084976196
37,2,0.12358164042234421
37,3,0.030728135257959366
37,4,0.02587440423667431
37,5,0.022964194416999817
38,1,0.0905802994966507
38,2,0.01770855113863945
38,3,0.0465829111635685
38,4,0.020602000877261162
38,5,0.019896652549505234
39,1,0.015169313177466393
39,2,0.02853562869131565
39,3,0.09472602605819702
39,4,0.024205844849348068
39,5,0.020025037229061127
40,1,0.09221132844686508
40,2,0.06195569410920143
40,3,0.015511925332248211
40,4,0.020947543904185295
40,5,0.09546206146478653
41,1,0.048299189656972885
41,2,0.043650832027196884
41,3,0.03680209815502167
41,4,0.02532898262143135
41,5,0.04201049357652664
42,1,0.02548881061375141
42,2,0.1682794988155365
42,3,0.04571413993835449
42,4,0.06081809103488922
42,5,0.06660812348127365
43,1,0.017352906987071037
43,2,0.019619006663560867
43,3,0.02761675789952278
43,4,0.050372034311294556
43,5,0.03376120701432228
44,1,0.1193566620349884
44,2,0.041633836925029755
44,3,0.07568240910768509
44,4,0.014492128044366837
44,5,0.011324367485940456
45,1,0.029123995453119278
45,2,0.013533048331737518
45,3,0.020518573001027107
45,4,0.09543313086032867
45,5,0.015336699783802032
46,1,0.0490695983171463
46,2,0.024559009820222855
46,3,0.03001938760280609
46,4,0.11120136827230453
46,5,0.08089595288038254
47,1,0.014815418049693108
47,2,0.03514351695775986
47,3,0.014038927853107452
47,4,0.0043360646814107895
47,5,0.041734594851732254
48,1,0.033982984721660614
48,2,0.12404949218034744
48,3,0.016215572133660316
48,4,0.045651741325855255
48,5,0.04843614250421524
49,1,0.050184063613414764
49,2,0.02712354063987732
49,3,0.09068549424409866
49,4,0.04639142006635666
49,5,0.04828621819615364
50,1,0.023395761847496033
50,2,0.014359088614583015
50,3,0.019440408796072006
50,4,0.037473320960998535
50,5,0.01388297788798809
51,1,0.13834689557552338
51,2,0.019936515018343925
51,3,0.04082709923386574
51,4,0.05133076757192612
51,5,0.026301689445972443
52,1,0.01841309294104576
52,2,0.08607012778520584
52,3,0.0075615886598825455
52,4,0.016762465238571167
52,5,0.07116314023733139
53,1,0.054990850389003754
53,2,0.027698025107383728
53,3,0.05873173475265503
53,4,0.017001308500766754
53,5,0.006771490443497896
54,1,0.04723331332206726
54,2,0.015392848290503025
54,3,0.009161094203591347
54,4,0.02025432325899601
54,5,0.10858599096536636
55,1,0.02607601508498192
55,2,0.020576264709234238
55,3,0.09052609652280807
55,4,0.05453135445713997
55,5,0.028310626745224
56,1,0.12441965937614441
56,2,0.018168354406952858
56,3,0.17241321504116058
56,4,0.1781826615333557
56,5,0.006124610081315041
57,1,0.00905078649520874
57,2,0.0125070009380579
57,3,0.009737767279148102
57,4,0.016661323606967926
57,5,0.041019659489393234
58,1,0.12149893492460251
58,2,0.016434885561466217
58,3,0.09608638286590576
58,4,0.11972354352474213
58,5,0.08061476051807404
59,1,0.026855170726776123
59,2,0.08536351472139359
59,3,0.051201533526182175
59,4,0.01384865865111351
59,5,0.03487894684076309
60,1,0.07356060296297073
60,2,0.043644919991493225
60,3,0.046493589878082275
60,4,0.013306895270943642
60,5,0.05489595979452133
61,1,0.05615352839231491
61,2,0.021228836849331856
61,3,0.05080801993608475
61,4,0.02287130430340767
61,5,0.038021571934223175
62,1,0.03788209334015846
62,2,0.009222577325999737
62,3,0.01065102033317089
62,4,0.006861457135528326
62,5,0.010147149674594402
63,1,0.09814250469207764
63,2,0.18500858545303345
63,3,0.004755446687340736
63,4,0.006926581729203463
63,5,0.018999770283699036
64,1,0.055849723517894745
64,2,0.04198765009641647
64,3,0.11244611442089081
64,4,0.08447650820016861
64,5,0.05831903591752052
65,1,0.010375229641795158
65,2,0.05734150484204292
65,3,0.04855717346072197
65,4,0.010376332327723503
65,5,0.015236136503517628
66,1,0.014264138415455818
66,2,0.018155593425035477
66,3,0.03995408117771149
66,4,0.049672581255435944
66,5,0.021176114678382874
67,1,0.05322324484586716
67,2,0.03843814134597778
67,3,0.08434171229600906
67,4,0.11264179646968842
67,5,0.007954875007271767
68,1,0.025177545845508575
68,2,0.041480667889118195
68,3,0.06241007149219513
68,4,0.006130809895694256
68,5,0.01242397353053093
69,1,0.08109772950410843
69,2,0.06420350819826126
69,3,0.13543999195098877
69,4,0.040917254984378815
69,5,0.1281890571117401
70,1,0.08778192847967148
70,2,0.019718322902917862
70,3,0.1130460649728775
70,4,0.06829763203859329
70,5,0.057125791907310486
71,1,0.12055902183055878
71,2,0.04490493983030319
71,3,0.07796011120080948
71,4,0.08318419009447098
71,5,0.02188754826784134
72,1,0.04951106384396553
72,2,0.009136362001299858
72,3,0.06143920123577118
72,4,0.017750531435012817
72,5,0.10303915292024612
73,1,0.03205398470163345
73,2,0.07166671007871628
73,3,0.008200700394809246
73,4,0.08756403625011444
73,5,0.015505220741033554
74,1,0.003582372795790434
74,2,0.017811428755521774
74,3,0.00785461999475956
74,4,0.012568268924951553
74,5,0.007664954289793968
75,1,0.014085596427321434
75,2,0.03407159075140953
75,3,0.07455261051654816
75,4,0.14614832401275635
75,5,0.09902964532375336
76,1,0.045176126062870026
76,2,0.013921881094574928
76,3,0.015396345406770706
76,4,0.04255649819970131
76,5,0.07666552811861038
77,1,0.00843488797545433
77,2,0.00612912280485034
77,3,0.12237605452537537
77,4,0.004527443088591099
