epoch,step,loss,datetime
0,0,6.928393363952637,2023-04-24 10:41:16.863240
0,10,6.513993263244629,2023-04-24 10:41:30.043704
0,20,6.333126068115234,2023-04-24 10:41:43.257740
0,30,6.377779006958008,2023-04-24 10:41:56.296390
0,40,6.267533302307129,2023-04-24 10:42:09.679105
0,50,6.0741729736328125,2023-04-24 10:42:22.861394
0,60,6.189021110534668,2023-04-24 10:42:35.432551
0,70,6.16319465637207,2023-04-24 10:42:48.699275
0,80,6.108959197998047,2023-04-24 10:43:04.014640
0,90,6.192861080169678,2023-04-24 10:43:16.824088
0,100,5.9763689041137695,2023-04-24 10:43:29.747281
0,110,5.969964504241943,2023-04-24 10:43:42.949167
0,120,6.0212249755859375,2023-04-24 10:43:55.807165
0,130,5.966707229614258,2023-04-24 10:44:08.879103
0,140,5.820793151855469,2023-04-24 10:44:24.323510
0,150,6.102802276611328,2023-04-24 10:44:37.669009
0,160,5.88783073425293,2023-04-24 10:44:50.404364
0,170,5.918638229370117,2023-04-24 10:45:03.763188
0,180,5.813474178314209,2023-04-24 10:45:16.929214
0,190,5.879724502563477,2023-04-24 10:45:29.936869
0,200,5.728148937225342,2023-04-24 10:45:43.794862
0,210,5.7999043464660645,2023-04-24 10:45:57.388460
0,220,5.7799458503723145,2023-04-24 10:46:10.462733
0,230,5.694631099700928,2023-04-24 10:46:24.242258
0,240,5.651314735412598,2023-04-24 10:46:37.696305
0,250,5.691828727722168,2023-04-24 10:46:50.340243
0,260,5.767035007476807,2023-04-24 10:47:03.187997
0,270,5.538934707641602,2023-04-24 10:47:17.788115
0,280,5.654097557067871,2023-04-24 10:47:31.479723
0,290,5.671524524688721,2023-04-24 10:47:44.210357
0,300,5.637531757354736,2023-04-24 10:47:57.336012
0,310,5.5538330078125,2023-04-24 10:48:10.713768
1,0,5.551915168762207,2023-04-24 10:48:28.569563
1,10,5.670868396759033,2023-04-24 10:48:38.641788
1,20,5.553428649902344,2023-04-24 10:48:48.617568
1,30,5.564196586608887,2023-04-24 10:48:58.335882
1,40,5.611944198608398,2023-04-24 10:49:08.171988
1,50,5.529363632202148,2023-04-24 10:49:18.679974
1,60,5.544836521148682,2023-04-24 10:49:28.415299
1,70,5.525853157043457,2023-04-24 10:49:38.564742
1,80,5.546212196350098,2023-04-24 10:49:48.649695
1,90,5.530561447143555,2023-04-24 10:49:58.377007
1,100,5.545082092285156,2023-04-24 10:50:08.401556
1,110,5.521430492401123,2023-04-24 10:50:18.534177
1,120,5.583849906921387,2023-04-24 10:50:28.230020
1,130,5.520074844360352,2023-04-24 10:50:37.967708
1,140,5.467812538146973,2023-04-24 10:50:48.285153
1,150,5.529535293579102,2023-04-24 10:50:58.063249
1,160,5.4293131828308105,2023-04-24 10:51:07.869309
1,170,5.586156845092773,2023-04-24 10:51:17.401134
1,180,5.53488826751709,2023-04-24 10:51:27.193427
1,190,5.562862396240234,2023-04-24 10:51:37.409631
1,200,5.386357307434082,2023-04-24 10:51:47.606309
1,210,5.430586338043213,2023-04-24 10:51:57.726051
1,220,5.443652629852295,2023-04-24 10:52:07.557443
1,230,5.447532653808594,2023-04-24 10:52:17.523465
1,240,5.494545936584473,2023-04-24 10:52:27.468396
1,250,5.543398380279541,2023-04-24 10:52:37.473835
1,260,5.470463752746582,2023-04-24 10:52:47.601802
1,270,5.2910661697387695,2023-04-24 10:52:57.153430
1,280,5.527355670928955,2023-04-24 10:53:06.739433
1,290,5.412835121154785,2023-04-24 10:53:16.950313
1,300,5.371573448181152,2023-04-24 10:53:26.985276
1,310,5.443497657775879,2023-04-24 10:53:36.875625
2,0,5.3149094581604,2023-04-24 10:53:47.022482
2,10,5.384144306182861,2023-04-24 10:53:56.491563
2,20,5.419203758239746,2023-04-24 10:54:06.801306
2,30,5.455534934997559,2023-04-24 10:54:17.058557
2,40,5.444531440734863,2023-04-24 10:54:27.068861
2,50,5.555047035217285,2023-04-24 10:54:37.181509
2,60,5.271490097045898,2023-04-24 10:54:46.616413
2,70,5.362936496734619,2023-04-24 10:54:56.391787
2,80,5.433579921722412,2023-04-24 10:55:06.222362
2,90,5.416947364807129,2023-04-24 10:55:16.121909
2,100,5.308976173400879,2023-04-24 10:55:25.981860
2,110,5.446749687194824,2023-04-24 10:55:36.133110
2,120,5.231590747833252,2023-04-24 10:55:46.411478
2,130,5.4460673332214355,2023-04-24 10:55:56.056954
