epoch,step,loss
1,1,1.8052425384521484
1,2,1.3511371612548828
1,3,1.1068885326385498
1,4,0.7993571758270264
1,5,0.6819382905960083
1,6,0.9776554107666016
2,1,0.5732895135879517
2,2,0.4683186709880829
2,3,0.4419907331466675
2,4,0.5709004402160645
2,5,0.5608445405960083
3,1,0.4897937476634979
3,2,0.5509617328643799
3,3,0.4211369454860687
3,4,0.4360409379005432
3,5,0.39892613887786865
4,1,0.37673455476760864
4,2,0.466450959444046
4,3,0.39739811420440674
4,4,0.40998387336730957
4,5,0.368736207485199
5,1,0.30802541971206665
5,2,0.3681936264038086
5,3,0.36615991592407227
5,4,0.32123345136642456
5,5,0.3127578794956207
6,1,0.32599174976348877
6,2,0.36520129442214966
6,3,0.26732027530670166
6,4,0.26047495007514954
6,5,0.24451830983161926
7,1,0.24987375736236572
7,2,0.24977630376815796
7,3,0.2957767844200134
7,4,0.2778335213661194
7,5,0.2639223635196686
8,1,0.230434849858284
8,2,0.1880078911781311
8,3,0.2696387767791748
8,4,0.2274312973022461
8,5,0.2450205683708191
9,1,0.2190241515636444
9,2,0.24830980598926544
9,3,0.17917826771736145
9,4,0.2508971095085144
9,5,0.20188632607460022
10,1,0.14259186387062073
10,2,0.23638346791267395
10,3,0.18106244504451752
10,4,0.19958700239658356
10,5,0.15343618392944336
11,1,0.17533263564109802
11,2,0.2161279022693634
11,3,0.13748611509799957
11,4,0.14012138545513153
11,5,0.17103925347328186
12,1,0.1488836407661438
12,2,0.13900217413902283
12,3,0.15351152420043945
12,4,0.1325347125530243
12,5,0.15852950513362885
13,1,0.12666264176368713
13,2,0.1528410166501999
13,3,0.13186806440353394
13,4,0.17626293003559113
13,5,0.1076461672782898
14,1,0.10966917872428894
14,2,0.10479234158992767
14,3,0.09695928543806076
14,4,0.12681421637535095
14,5,0.15662798285484314
15,1,0.08015051484107971
15,2,0.1015155240893364
15,3,0.1033347100019455
15,4,0.12549850344657898
15,5,0.0938071757555008
16,1,0.09792730957269669
16,2,0.09198475629091263
16,3,0.07473502308130264
16,4,0.19297069311141968
16,5,0.09340821206569672
17,1,0.064939484000206
17,2,0.28293076157569885
17,3,0.07251184433698654
17,4,0.06212133914232254
17,5,0.08076592534780502
18,1,0.03876786679029465
18,2,0.03680416941642761
18,3,0.1105736792087555
18,4,0.18620824813842773
18,5,0.066989965736866
19,1,0.055921521037817
19,2,0.11806990951299667
19,3,0.10824093222618103
19,4,0.06623054295778275
19,5,0.050648532807826996
20,1,0.04415890574455261
20,2,0.09559378027915955
20,3,0.06889399141073227
20,4,0.06864118576049805
20,5,0.037208959460258484
21,1,0.06628412753343582
21,2,0.050889965146780014
21,3,0.04535035416483879
21,4,0.04380899667739868
21,5,0.072144515812397
22,1,0.029701730236411095
22,2,0.03434613347053528
22,3,0.02505604550242424
22,4,0.03333142772316933
22,5,0.03419648855924606
23,1,0.03127192333340645
23,2,0.034145936369895935
23,3,0.06680750846862793
23,4,0.022784793749451637
23,5,0.054582953453063965
24,1,0.03179839253425598
24,2,0.02587241679430008
24,3,0.03023257479071617
24,4,0.03673379868268967
24,5,0.021180111914873123
25,1,0.02853161282837391
25,2,0.05380340293049812
25,3,0.02702321484684944
25,4,0.08197470754384995
25,5,0.05597476661205292
26,1,0.1054457277059555
26,2,0.0278322733938694
26,3,0.0256449393928051
26,4,0.06155526265501976
26,5,0.04746454954147339
27,1,0.03267238661646843
27,2,0.03260502964258194
27,3,0.012396611273288727
27,4,0.09868817031383514
27,5,0.013379516080021858
28,1,0.03260558843612671
28,2,0.021889397874474525
28,3,0.041350673884153366
28,4,0.026530450209975243
28,5,0.017643043771386147
29,1,0.05814697593450546
29,2,0.034255534410476685
29,3,0.019267823547124863
29,4,0.08163583278656006
29,5,0.024827949702739716
30,1,0.01976739428937435
30,2,0.00886630266904831
30,3,0.07236404716968536
30,4,0.05423753708600998
30,5,0.011972924694418907
31,1,0.012382738292217255
31,2,0.012743172235786915
31,3,0.06587471067905426
31,4,0.007007210981100798
31,5,0.03228452056646347
32,1,0.037457119673490524
32,2,0.014765772968530655
32,3,0.033468764275312424
32,4,0.02512902021408081
32,5,0.037854235619306564
33,1,0.1505541056394577
33,2,0.026020370423793793
33,3,0.10125967115163803
33,4,0.032229144126176834
33,5,0.07063067704439163
34,1,0.013256206177175045
34,2,0.033884141594171524
34,3,0.06349842250347137
34,4,0.03549262136220932
34,5,0.054606273770332336
35,1,0.025434067472815514
35,2,0.013914448209106922
35,3,0.015971949324011803
35,4,0.03067202866077423
35,5,0.007750838529318571
36,1,0.01175533328205347
36,2,0.01683405041694641
36,3,0.04826606810092926
36,4,0.017271477729082108
36,5,0.034519221633672714
37,1,0.025180742144584656
37,2,0.04563203454017639
37,3,0.04652987793087959
37,4,0.020799878984689713
37,5,0.011263854801654816
38,1,0.07312662899494171
38,2,0.03953215852379799
38,3,0.12246543914079666
38,4,0.024399016052484512
38,5,0.04327429458498955
39,1,0.023789675906300545
39,2,0.00788799300789833
39,3,0.058501604944467545
39,4,0.013853264041244984
39,5,0.007893252186477184
40,1,0.10806436836719513
40,2,0.08500745892524719
40,3,0.028891239315271378
40,4,0.009540488943457603
40,5,0.020396756008267403
41,1,0.031600452959537506
41,2,0.016133293509483337
41,3,0.039128679782152176
41,4,0.012968836352229118
41,5,0.04783450439572334
42,1,0.04700746014714241
42,2,0.03077150695025921
42,3,0.1287204921245575
42,4,0.03089985065162182
42,5,0.02039921097457409
43,1,0.014659554697573185
43,2,0.017461609095335007
43,3,0.04055073484778404
43,4,0.06341449916362762
43,5,0.01220692228525877
44,1,0.04015500470995903
44,2,0.0511225126683712
44,3,0.011415034532546997
44,4,0.12764650583267212
44,5,0.12172380089759827
45,1,0.02666812762618065
45,2,0.03756915405392647
45,3,0.04156935214996338
45,4,0.032333854585886
45,5,0.006507352460175753
46,1,0.006272986531257629
46,2,0.009789719246327877
46,3,0.02005930244922638
46,4,0.008644750341773033
46,5,0.043244872242212296
47,1,0.009726958349347115
47,2,0.009777136147022247
47,3,0.07000836730003357
47,4,0.015452466905117035
47,5,0.007207847200334072
48,1,0.022577855736017227
48,2,0.009904636070132256
48,3,0.12564760446548462
48,4,0.00611531687900424
48,5,0.07226936519145966
49,1,0.02017025277018547
49,2,0.018618257716298103
49,3,0.04498174414038658
49,4,0.1456962674856186
49,5,0.008300580084323883
50,1,0.023917168378829956
50,2,0.025641828775405884
50,3,0.016273289918899536
50,4,0.011325769126415253
50,5,0.006022660061717033
51,1,0.011843625456094742
51,2,0.007923309691250324
51,3,0.006913245189934969
51,4,0.013676397502422333
51,5,0.0181740615516901
52,1,0.017547767609357834
52,2,0.010785642080008984
52,3,0.010940548032522202
52,4,0.004325363785028458
52,5,0.07244710624217987
53,1,0.010883687064051628
53,2,0.011844296008348465
53,3,0.03340417891740799
53,4,0.005372620187699795
53,5,0.006731712259352207
54,1,0.014791170135140419
54,2,0.05679699033498764
54,3,0.05728815123438835
54,4,0.009809876792132854
54,5,0.0203391183167696
55,1,0.008926589041948318
55,2,0.008668093010783195
55,3,0.024410564452409744
55,4,0.01199568621814251
55,5,0.03894780948758125
56,1,0.01730435900390148
56,2,0.010959427803754807
56,3,0.012782841920852661
56,4,0.01055894698947668
56,5,0.007935447618365288
57,1,0.01528284139931202
57,2,0.0054741972126066685
57,3,0.005136783234775066
57,4,0.012549576349556446
57,5,0.04615718871355057
58,1,0.030473656952381134
58,2,0.007192390039563179
58,3,0.012080062180757523
58,4,0.0166158489882946
58,5,0.0033400445245206356
59,1,0.01799241080880165
59,2,0.005511218216270208
59,3,0.11937475949525833
59,4,0.01729850471019745
59,5,0.039745621383190155
60,1,0.008153817616403103
60,2,0.015239381231367588
60,3,0.00443133944645524
60,4,0.0071329399943351746
60,5,0.01294273417443037
61,1,0.04892997443675995
61,2,0.005640821531414986
61,3,0.011677369475364685
61,4,0.006574410013854504
61,5,0.0067229075357317924
62,1,0.02379564195871353
62,2,0.023215146735310555
62,3,0.003526299260556698
62,4,0.008376353420317173
62,5,0.005799801554530859
63,1,0.0034416839480400085
63,2,0.004646408837288618
63,3,0.07339726388454437
63,4,0.033122800290584564
63,5,0.0064918105490505695
64,1,0.014392790384590626
64,2,0.045023102313280106
64,3,0.006275853142142296
64,4,0.01200229860842228
64,5,0.010646898299455643
65,1,0.03784764185547829
65,2,0.013721847906708717
65,3,0.05373886227607727
65,4,0.00835609994828701
65,5,0.04116244986653328
66,1,0.012202071957290173
66,2,0.009084864519536495
66,3,0.029283301904797554
66,4,0.003137558698654175
66,5,0.026025105267763138
67,1,0.004489284474402666
67,2,0.00393308000639081
67,3,0.010641742497682571
67,4,0.01030307449400425
67,5,0.003796457778662443
68,1,0.024424031376838684
68,2,0.010950671508908272
68,3,0.01814664900302887
68,4,0.006746214348822832
68,5,0.0402565523982048
69,1,0.003600639756768942
69,2,0.016060762107372284
69,3,0.008223606273531914
69,4,0.028712313622236252
69,5,0.004997240379452705
70,1,0.006370028015226126
70,2,0.022005941718816757
70,3,0.00981503538787365
70,4,0.004834166262298822
70,5,0.06033290922641754
71,1,0.008321039378643036
71,2,0.011239477433264256
71,3,0.012913066893815994
71,4,0.03367600962519646
71,5,0.009645912796258926
72,1,0.0022477046586573124
72,2,0.06617239862680435
72,3,0.028417140245437622
72,4,0.006134577561169863
72,5,0.0062234243378043175
73,1,0.003764033317565918
73,2,0.0031334301456809044
73,3,0.02066853642463684
73,4,0.02894953265786171
73,5,0.005941339302808046
74,1,0.005590555723756552
74,2,0.01235986314713955
74,3,0.015780430287122726
74,4,0.0026449295692145824
74,5,0.013413527980446815
75,1,0.10712283849716187
75,2,0.0017408765852451324
75,3,0.035794440656900406
75,4,0.03802221640944481
75,5,0.0042784432880580425
76,1,0.009944237768650055
76,2,0.03862948715686798
76,3,0.004608387127518654
76,4,0.03458838164806366
76,5,0.007316070608794689
77,1,0.031508661806583405
77,2,0.021961210295557976
77,3,0.00809658132493496
77,4,0.028633685782551765
77,5,0.056435540318489075
78,1,0.007620538119226694
78,2,0.025267135351896286
78,3,0.01781153492629528
78,4,0.017272263765335083
78,5,0.005381220020353794
79,1,0.00387141527608037
79,2,0.06101066619157791
79,3,0.004987253807485104
79,4,0.014051191508769989
79,5,0.020731288939714432
80,1,0.0169138815253973
80,2,0.01857668161392212
80,3,0.009468196891248226
80,4,0.02033405564725399
80,5,0.008314859122037888
81,1,0.008202662691473961
81,2,0.00757911242544651
81,3,0.002600264735519886
81,4,0.006923796143382788
81,5,0.00349519494920969
82,1,0.0036772754974663258
82,2,0.004172583110630512
82,3,0.003345775417983532
82,4,0.028790470212697983
82,5,0.006256903056055307
83,1,0.009130296297371387
83,2,0.004985549952834845
83,3,0.0022416445426642895
83,4,0.023751504719257355
83,5,0.01977597177028656
84,1,0.0020391116850078106
84,2,0.008785342797636986
84,3,0.07528653740882874
84,4,0.004057273268699646
84,5,0.02563043124973774
85,1,0.0072928196750581264
85,2,0.019017212092876434
85,3,0.02802458591759205
85,4,0.03636051341891289
85,5,0.015495085157454014
86,1,0.015823373571038246
86,2,0.021292679011821747
86,3,0.021834785118699074
86,4,0.021413059905171394
86,5,0.013390094973146915
87,1,0.010954226367175579
87,2,0.012730427086353302
87,3,0.009953373111784458
87,4,0.005218387581408024
87,5,0.005322309210896492
88,1,0.011805642396211624
88,2,0.007795758079737425
88,3,0.008053122088313103
88,4,0.011148813180625439
88,5,0.0038456395268440247
89,1,0.04124297574162483
89,2,0.02324061468243599
